overall_pick,year,team,player,college/former,position,height,years_played,games,win_shares,win_shares_40,minutes_played,points,total_rebounds,assists,spg,bpg,fg%,3-fg%,ft%
26,2002,New York Liberty,Linda Frohlich,UNLV,null,null,4,72,0.6,0.047,7,2.3,1.3,0.4,null,null,null,null,null
27,2002,Utah Starzz,Andrea Gardner,Howard University,null,null,2,52,0.4,0.045,7.2,2.2,2.1,0.2,null,null,null,null,null
28,2002,Seattle Storm,Felicia Ragland,Oregon State,null,null,4,72,1.9,0.074,13.8,3.7,1.6,0.9,null,null,null,null,null
29,2002,Miami Sol,Lindsey Yamasaki,Stanford,null,null,2,39,0.1,0.01,7.6,1.7,0.7,0.5,null,null,null,null,null
30,2002,Los Angeles Sparks,Gergana Slavtcheva,Florida International University,null,null,1,2,-0.1,-0.292,6,0,0,0.5,null,null,null,null,null
31,2002,Cleveland Rockers,Angie Welle,Iowa State,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
32,2002,Los Angeles Sparks,Jackie Higgins,UNC,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
33,2002,Washington Mystics,LaNisha Cartwell,Alabama,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
34,2002,Indiana Fever,Kelly Komara,Purdue,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
35,2002,Seattle Storm,Takeisha Lewis,Louisiana Tech,null,null,1,14,0.2,0.106,4.1,1.3,1.7,0.2,null,null,null,null,null
36,2002,Washington Mystics,Teresa Geter,South Carolina,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
37,2002,Portland Fire,Mandy Nightingale,Colorado,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
38,2002,Minnesota Lynx,Lindsey Meder,Iowa,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
39,2002,Orlando Miracle,Saundra Jackson,Ole Miss,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
40,2002,Phoenix Mercury,Kayte Christensen,UC Santa Barbara,null,null,6,143,3,0.061,13.6,3.2,2.6,0.5,null,null,null,null,null
41,2002,Charlotte Sting,Edniesha Curry,Oregon,null,null,2,33,0.1,0.009,9.6,1.7,0.7,1.1,null,null,null,null,null
42,2002,Houston Comets,Shondra Johnson,Alabama,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
43,2002,Utah Starzz,Edmarie Lumbsley,Mobile University,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
44,2002,Sacramento Monarchs,Alayne Ingram,Michigan,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
45,2002,Miami Sol,Jerica Watson,Iowa,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
46,2002,New York Liberty,Tracy Gahan,Iowa State,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
47,2002,Detroit Shock,Ericka Haney,Notre Dame,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
48,2002,Los Angeles Sparks,Rashana Barnes,Penn State,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
49,2002,Indiana Fever,LaKeisha Taylor,Arizona,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
50,2002,Portland Fire,Melody Johnson,Arizona State,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
51,2002,Sacramento Monarchs,Jermisha Dosty,Saint Mary's,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
52,2002,Indiana Fever,Jillian Danker,Vanderbilt,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
53,2002,Portland Fire,Monique Cardenas,Florida,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
54,2002,Minnesota Lynx,Sharron Francis,Old Dominion,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
55,2002,Orlando Miracle,Tomeka Brown,Ohio State,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
56,2002,Phoenix Mercury,Amba Kongolo,NC Central,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
57,2002,Charlotte Sting,Jessie Stomski,Wisconsin,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
58,2002,Houston Comets,Cori Enghusen,Stanford,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
59,2002,Utah Starzz,Jacklyn Winfield,Southern University and A&M College,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
60,2002,Sacramento Monarchs,Elizabeth Pickney,Arizona,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
61,2002,Miami Sol,Jerkisha Dosty,Saint Mary's,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
62,2002,New York Liberty,Deedee Warley,Maryland,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
63,2002,Cleveland Rockers,Marche Strickland,Maryland,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
64,2002,Los Angeles Sparks,Tiffany Thompson,Old Dominion,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
1,2001,Seattle Storm,Lauren Jackson,Canberra Capitals (Australia),Forward-Center,6'6,12,317,73,0.288,32,18.9,7.7,1.4,1.1,1.8,46%,35.1%,84.2%
2,2001,Charlotte Sting,Kelly Miller,Georgia,Guard,5'10,12,364,15.6,0.074,23.2,7.1,2.8,2.6,0.8,0.1,40.6%,38.2%,81.9%
3,2001,Indiana Fever,Tamika Catchings,Tennessee,Forward,6'1,15,457,93.7,0.26,31.5,16.1,7.3,3.3,2.3,0.8,41.5%,35.5%,84%
4,2001,Portland Fire,Jackie Stiles,Missouri State University,Guard,5'8,2,53,2.7,0.077,26.5,11.4,1.8,1.4,0.5,0.1,38.3%,40.6%,78.2%
5,2001,Miami Sol,Ruth Riley,Notre Dame,Center,6'5,13,387,17.2,0.08,22.2,6.3,4.1,1.2,0.6,1.3,44.2%,29.7%,78.7%
6,2001,Detroit Shock,Deanna Nolan,Georgia,Guard-Forward,5'9,9,293,31.3,0.137,31.3,13.6,3.8,3.2,1.3,0.3,41.6%,34.9%,81.1%
7,2001,Minnesota Lynx,Svetlana Abrosimova,UConn,Forward,6'2,10,263,9.6,0.061,24.2,9.2,4.1,2.1,1.3,0.2,39.5%,35%,65.4%
8,2001,Utah Starzz,Marie Ferdinand-Harris,LSU,Guard,5'9,10,305,14.7,0.08,24.2,9.8,2.7,1.7,1.1,0.1,40.2%,28%,79.5%
9,2001,Washington Mystics,Coco Miller,Georgia,Guard,5'9,12,352,9,0.057,18.1,5.8,2.1,1.4,0.7,0.1,42.3%,33.6%,76.4%
10,2001,Orlando Miracle,Katie Douglas,Purdue,Guard-Forward,6'0,14,412,48.9,0.155,30.7,13.5,3.8,2.6,1.5,0.3,41.6%,36.8%,80.5%
11,2001,Cleveland Rockers,Penny Taylor,Dandenong Rangers (Australia),Forward,6'1,13,355,49,0.206,26.8,13,4.4,3,1.4,0.4,46.5%,38.2%,86.8%
12,2001,Portland Fire,LaQuanda Barksdale,UNC,Guard,5'10,3,48,-0.2,-0.018,10.2,3.4,1.6,0.4,0.2,0.2,30.5%,26%,89.3%
13,2001,Phoenix Mercury,Kristen Veal,Australia,Guard,5'10,2,52,-1.7,-0.066,19.6,3.6,1.7,3.2,0.9,0.1,28.9%,27.8%,76.4%
14,2001,Indiana Fever,Kelly Schumacher,UConn,Center,6'5,9,222,5.7,0.065,15.8,4.9,3.1,0.5,0.3,0.8,45.8%,33.9%,76.4%
15,2001,Houston Comets,Amanda Lassiter,Missouri,Forward,6'1,6,190,4.1,0.044,19.4,4.8,2.7,1.4,0.8,0.6,35.8%,32.6%,67%
16,2001,Los Angeles Sparks,Camille Cooper,Purdue,Center,6'4,2,27,0.4,0.083,6.3,2,1,0.1,0.1,0.3,47.5%,0%,71.4%
17,2001,Seattle Storm,Semeka Randall,Tennessee,null,null,4,123,-0.9,-0.015,18.5,5.8,2.5,1,null,null,null,null,null
18,2001,Charlotte Sting,Tammy Sutton-Brown,Rutgers University,null,null,12,388,32.9,0.137,24.7,9,5.2,0.6,null,null,null,null,null
19,2001,Indiana Fever,Niele Ivey,Notre Dame,null,null,5,131,3.5,0.064,17,3.1,1.1,1.7,null,null,null,null,null
20,2001,Portland Fire,Jenny Mowe,Oregon,null,null,3,11,-0.1,-0.081,4.9,0.6,0.5,0,null,null,null,null,null
21,2001,Miami Sol,Georgia Schweitzer,Duke,null,null,3,70,1.8,0.067,15,3.2,1.7,1.1,null,null,null,null,null
22,2001,Detroit Shock,Jae Kingi-Cross,Australia,null,null,3,65,1.4,0.065,13.6,3.3,1.3,1.5,null,null,null,null,null
23,2001,Minnesota Lynx,Erin Perperoglou,Master's College,null,null,8,218,11.3,0.112,18.4,5.7,3.1,1.2,null,null,null,null,null
24,2001,Utah Starzz,Michaela Pavlickova,Denver,null,null,2,18,0,-0.032,2.8,0.4,0.6,0.1,null,null,null,null,null
25,2001,Washington Mystics,Tamara Stocks,Florida,null,null,1,3,0,0.049,3.7,1,0.7,0,null,null,null,null,null
26,2001,Orlando Miracle,Brooke Wyckoff,Florida State,null,null,8,242,4.5,0.04,18.6,3.1,3.1,1.3,null,null,null,null,null
27,2001,Cleveland Rockers,Jaynetta Saunders,Texas A&M,null,null,2,56,-0.1,-0.01,9.9,3,1.4,0.5,null,null,null,null,null
28,2001,Minnesota Lynx,Janell Burse,Tulane,null,null,8,233,11.9,0.111,18.5,6.8,4.1,0.5,null,null,null,null,null
29,2001,Phoenix Mercury,Ilona Korstine,Russia,null,null,1,12,-0.2,-0.104,6.3,1.8,0.9,0.4,null,null,null,null,null
30,2001,Sacramento Monarchs,Jackie Moore,Cal State Long Beach,null,null,1,18,0,-0.006,7.1,2.3,1.6,0.2,null,null,null,null,null
31,2001,Houston Comets,Tynesha Lewis,NC State,null,null,6,143,2.4,0.051,13.1,4,1.5,0.9,null,null,null,null,null
32,2001,Los Angeles Sparks,Nicole Levandusky,Xavier,null,null,1,13,0.2,0.111,5.2,1.5,0.7,0.5,null,null,null,null,null
33,2001,Houston Comets,ShaRae Mansfield,Western Kentucky,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
34,2001,Charlotte Sting,Jennifer Phillips,Xavier,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
35,2001,Indiana Fever,Marlena Williams,Missouri,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
36,2001,Portland Fire,Rasheeda Clark,Pepperdine,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
37,2001,Miami Sol,Levys Torres,Florida State,null,null,1,2,-0.1,-0.44,4,0,0,0,null,null,null,null,null
38,2001,Detroit Shock,Svetlana Volnaya,Virginia,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
39,2001,Minnesota Lynx,Tombi Bell,Florida,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
40,2001,Utah Starzz,Shea Ralph,UConn,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
41,2001,Washington Mystics,Jamie Lewis,Ohio State,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
42,2001,Orlando Miracle,Jaclyn Johnson,Kansas,null,null,1,17,0.1,0.02,8.2,2.1,1.4,0.5,null,null,null,null,null
43,2001,Cleveland Rockers,Angelina Wolvert,Oregon,null,null,1,1,0,0.031,5,2,1,0,null,null,null,null,null
44,2001,Washington Mystics,Elena Karpova,Russia,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
45,2001,Phoenix Mercury,Tere Williams,Virginia Tech,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
46,2001,Sacramento Monarchs,Maren Walseth,Penn State,null,null,2,22,-0.3,-0.114,5.1,0.8,1,0.3,null,null,null,null,null
47,2001,Houston Comets,Shala Crawford,Life University,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
48,2001,Los Angeles Sparks,Kelley Siemon,Notre Dame,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
49,2001,Seattle Storm,Juana Brown,UNC,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
50,2001,Charlotte Sting,Reshea Bristol,Arizona,null,null,1,1,0,-0.391,5,0,2,0,null,null,null,null,null
51,2001,Indiana Fever,April Brown,LSU,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
52,2001,Portland Fire,Natasha Pointer,Rutgers University,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
53,2001,Phoenix Mercury,Carolyn Moos,Stanford,null,null,1,2,0,-0.154,3,0,0,0,null,null,null,null,null
54,2001,Detroit Shock,Kelly Santos,Brazil,null,null,3,48,0.4,0.037,9.5,3,1.8,0.4,null,null,null,null,null
55,2001,Minnesota Lynx,Megan Taylor,Iowa State,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
56,2001,Utah Starzz,Cara Consuegra,Iowa,null,null,1,15,-0.4,-0.28,3.3,0.1,0.4,0.7,null,null,null,null,null
57,2001,New York Liberty,Taru Tuukkanen,Xavier,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
58,2001,Orlando Miracle,Anne Thorius,Michigan,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
59,2001,Cleveland Rockers,Erin Batth,Clemson,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
60,2001,New York Liberty,Tara Mitchem,Missouri State University,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
61,2001,Phoenix Mercury,Megan Franza,Washington,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
62,2001,Sacramento Monarchs,Katie Smrcka-Duffy,Georgetown,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
63,2001,Houston Comets,Kristen Clement,Tennessee,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
64,2001,Los Angeles Sparks,Beth Record,Syracuse,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
1,2000,Cleveland Rockers,Ann Wauters,Valenciennes (France),Center,6'4,9,220,20.2,0.153,24,9.9,5.1,1.3,0.7,0.7,53.6%,35.8%,75.9%
2,2000,Washington Mystics,Tausha Mills,Alabama,Center,6'3,5,99,0.4,0.018,8.8,2.7,2.6,0.2,0.3,0.1,38.3%,0%,64.7%
3,2000,Detroit Shock,Edwina Brown,Texas,Guard-Forward,5'9,5,130,-0.5,-0.007,19.4,5.1,2.7,2.2,0.9,0.2,33.4%,37.5%,80.3%
4,2000,Orlando Miracle,Cintia dos Santos,Brazil,Center,6'5,3,68,1.4,0.049,16.8,4.9,2.4,0.7,0.3,1.2,43.2%,0%,74.3%
5,2000,Minnesota Lynx,Grace Daley,Tulane,Guard,5'8,4,71,1.4,0.066,12.1,3.7,1.5,1.2,0.3,0,40%,26.8%,62.8%
6,2000,Minnesota Lynx,Betty Lennox,Louisiana Tech,Guard,5'8,12,320,17.1,0.087,24.6,12.1,4.1,2,1,0.1,40.6%,33.5%,83.8%
7,2000,Portland Fire,Lynn Pride,Kansas,Guard-Forward,6'2,4,112,0.7,0.015,16.6,3.8,3,1,0.6,0.5,37.7%,21.7%,60.7%
8,2000,Detroit Shock,Tamicha Jackson,Louisiana Tech,Guard,5'6,7,151,2.6,0.035,19.5,6.8,1.7,2.6,1.2,0,37%,29.7%,71%
9,2000,Seattle Storm,Kamila Vodichkova,BK Gambrinus,Forward-Center,6'4,7,202,13.3,0.11,24,8.8,5.1,1.4,0.9,0.5,44.4%,29.8%,77.8%
10,2000,Minnesota Lynx,Maylana Martin,UCLA,Center-Forward,6'1,2,61,0.7,0.031,15.6,3.7,2.5,0.7,0.6,0.5,40.3%,29.7%,60.3%
11,2000,Charlotte Sting,Summer Erb,NC State,Center,6'6,3,78,1.4,0.072,9.8,3,2.2,0.3,0.3,0.3,48%,0%,71.9%
12,2000,Utah Starzz,Naomi Mulitauaopele,Stanford,Center,6'3,1,22,0.1,0.016,13.2,4.5,1.5,0.3,0.2,0.3,59.4%,66.7%,75%
13,2000,New York Liberty,Olga Firsova,Kansas State,Center,6'8,1,9,0.1,0.128,2.1,1.3,0.4,0.1,0,0.1,40%,0%,80%
14,2000,Sacramento Monarchs,Katy Steding,Stanford,Forward,6'0,2,55,1.1,0.064,12.8,3.5,1.3,0.7,0.5,0.3,37.6%,37.5%,66.7%
15,2000,Los Angeles Sparks,Nicole Kubik,Nebraska,Guard,5'9,2,7,0,-0.009,5.7,1.1,0.6,1,0.6,0,28.6%,0%,100%
16,2000,Houston Comets,Elena Shakirova,Russia,Center,6'3,3,41,1.5,0.163,8.7,2.3,1.6,0.3,0.3,0.1,36.8%,10.5%,75.9%
17,2000,Cleveland Rockers,Helen Darling,Penn State,null,null,10,322,5.7,0.036,19.8,4.1,2,2.8,null,null,null,null,null
18,2000,Washington Mystics,Tonya Massaline,Florida,null,null,4,98,0.2,0.008,9.7,2.6,1.2,0.4,null,null,null,null,null
19,2000,Miami Sol,Jameka Jones,UNC Charlotte,null,null,1,21,-0.8,-0.134,11.1,3.3,1,0.5,null,null,null,null,null
20,2000,Orlando Miracle,Jannon Roland,Purdue,null,null,1,21,-0.5,-0.113,8.2,1.6,0.8,0.4,null,null,null,null,null
21,2000,Phoenix Mercury,Adrian Williams-Strong,USC,null,null,8,242,6,0.051,19.3,5.7,4.7,0.7,null,null,null,null,null
22,2000,Minnesota Lynx,Marla Brumfield,Rice University,null,null,3,84,0.9,0.035,11.7,2.2,1.1,1,null,null,null,null,null
23,2000,Portland Fire,Stacey Thomas,Michigan,null,null,6,145,2.4,0.042,15.9,3,2.4,1.6,null,null,null,null,null
24,2000,Minnesota Lynx,Keitha Dickerson,Texas Tech,null,null,2,36,0.2,0.01,22.1,3.9,3.9,1.7,null,null,null,null,null
25,2000,Seattle Storm,Charisse Sampson,Kansas,null,null,1,21,1.2,0.176,13.3,3.7,2,0.5,null,null,null,null,null
26,2000,Indiana Fever,Jurgita Streimikyte,Pool Comense (Italy),null,null,3,88,4.6,0.101,20.6,6.3,3.5,1.5,null,null,null,null,null
27,2000,Charlotte Sting,Tiffany Travis,Florida,null,null,1,32,0.5,0.035,17.9,5.4,2.5,0.8,null,null,null,null,null
28,2000,Detroit Shock,Madinah Slaise,Cincinnati,null,null,1,3,0.1,0.407,2.3,1.3,0.3,0,null,null,null,null,null
29,2000,New York Liberty,Desiree Francis,Iowa State,null,null,1,1,0,-0.564,2,0,0,0,null,null,null,null,null
30,2000,Sacramento Monarchs,Stacy Clinesmith,UC Santa Barbara,null,null,3,54,0.9,0.076,8.6,1.9,0.7,1.5,null,null,null,null,null
31,2000,Los Angeles Sparks,Paige Sauer,UConn,null,null,3,15,0.1,0.05,5.1,1.5,1.3,0.2,null,null,null,null,null
32,2000,Houston Comets,Andrea Garner,Penn State,null,null,1,32,-0.6,-0.046,17.5,3.1,3,0.8,null,null,null,null,null
33,2000,Cleveland Rockers,Monique Morehouse,Auburn,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
34,2000,Charlotte Sting,Jill Morton,Louisville,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
35,2000,Utah Starzz,Stacy Frese,Iowa State,null,null,1,21,0.6,0.115,10.6,3,0.9,0.8,null,null,null,null,null
36,2000,Orlando Miracle,Shawnetta Stewart,Rutgers University,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
37,2000,Phoenix Mercury,Tauja Catchings,Illinois,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
38,2000,Minnesota Lynx,Phylesha Whaley,Oklahoma,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
39,2000,Portland Fire,Maxann Reese,Michigan State,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
40,2000,Miami Sol,Milena Flores,Stanford,null,null,1,32,-0.2,-0.017,14.8,3.5,0.7,1.5,null,null,null,null,null
41,2000,Seattle Storm,Kirra Jordan,Rice University,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
42,2000,Indiana Fever,Usha Gilmore,Rutgers University,null,null,1,4,-0.2,-0.318,5.3,0.5,1.3,0.5,null,null,null,null,null
43,2000,Charlotte Sting,Peppi Browne,Duke,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
44,2000,Detroit Shock,Chavonne Hammond,Vanderbilt,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
45,2000,New York Liberty,Jessica Bibby,Dandenong Rangers (Australia),null,null,1,17,-0.2,-0.096,4.1,1.1,0.3,0.6,null,null,null,null,null
46,2000,Sacramento Monarchs,Rhonda Banchero,Washington,null,null,1,9,-0.1,-0.119,2.3,0.7,0.3,0.1,null,null,null,null,null
47,2000,Los Angeles Sparks,Marte Alexander,Arizona,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
48,2000,Houston Comets,Latavia Coleman,Florida State,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
49,2000,Cleveland Rockers,Sophie Von Saldern,California,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
50,2000,Indiana Fever,Latina Davis,Tennessee,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
51,2000,Utah Starzz,Kristen Rasmussen,Michigan State,null,null,9,276,12.9,0.095,19.7,4.4,3.6,1.3,null,null,null,null,null
52,2000,Orlando Miracle,Romana Hamzova,Czech Republic,null,null,1,15,-0.1,-0.12,2.9,0.5,0.2,0.3,null,null,null,null,null
53,2000,Phoenix Mercury,Shantia Owens,Kentucky,null,null,2,33,-0.3,-0.018,18.5,4,3,0.6,null,null,null,null,null
54,2000,Minnesota Lynx,Jana Lichnerova,Saint Joseph's,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
55,2000,Portland Fire,Rhonda Smith,Cal State Long Beach,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
56,2000,Minnesota Lynx,Shanele Stires,Kansas State,null,null,3,48,0.1,0.011,7.1,1.9,1,0.5,null,null,null,null,null
57,2000,Seattle Storm,Katrina Hibbert,LSU,null,null,1,20,-0.2,-0.03,12,2.7,1.5,0.9,null,null,null,null,null
58,2000,Indiana Fever,Renee Robinson,Virginia,null,null,1,2,0.1,0.463,2.5,2,0,0,null,null,null,null,null
59,2000,Charlotte Sting,Shaka Massey,Louisiana Tech,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
60,2000,Detroit Shock,Cal Bouchard,Boston College,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
61,2000,New York Liberty,Natalie Porter,Australia,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
62,2000,Sacramento Monarchs,Jessica Zinobile,Saint Francis University,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
63,2000,Los Angeles Sparks,Nicky McCrimmon,USC,null,null,4,125,3.1,0.084,11.9,2.3,0.8,1.7,null,null,null,null,null
64,2000,Houston Comets,Abbie Willenborg,Marquette,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
1,1999,Washington Mystics,Chamique Holdsclaw,Tennessee,Forward,6'2,11,279,33.2,0.145,32.9,16.9,7.6,2.5,1.3,0.5,44.3%,26.2%,79.4%
2,1999,Sacramento Monarchs,Yolanda Griffith,Florida Atlantic University,Center-Forward,6'4,11,311,59.4,0.265,28.8,13.6,7.9,1.5,1.8,1.1,50.6%,0%,71.7%
3,1999,Utah Starzz,Natalie Williams,UCLA,Center,6'2,7,221,29.3,0.171,31.1,13.1,8.3,1.4,1.2,0.6,47.4%,28.6%,74.1%
4,1999,Los Angeles Sparks,DeLisha Milton-Jones,Florida,Forward,6'1,17,499,37.4,0.104,28.8,11.2,5.2,1.8,1.2,0.7,44%,32.6%,79.1%
5,1999,Detroit Shock,Jennifer Azzi,Stanford,Guard,5'8,5,141,14.4,0.118,34.7,9.1,2.6,4.5,0.8,0.3,44.5%,45.8%,84.5%
6,1999,New York Liberty,Crystal Robinson,Southeastern Oklahoma State University,Forward,5'11,9,245,26.4,0.143,30.1,10.2,2.7,2,1.1,0.3,42.7%,37.4%,85%
7,1999,Minnesota Lynx,Tonya Edwards,Tennessee,Guard,5'10 ,4,125,5,0.071,22.7,9,2.3,1.7,0.8,0.2,36.2%,32.2%,77.5%
8,1999,Orlando Miracle,Tari Phillips,Central Florida,Forward-Center,6'1,9,232,12.3,0.093,23,9.2,5.5,0.9,1.2,0.5,45.1%,12.5%,61.9%
9,1999,Charlotte Sting,Dawn Staley,Virginia,Guard,5'6,8,263,17.7,0.083,32.5,8.5,2,5.1,1.3,0.1,39.9%,37.6%,83.4%
10,1999,Phoenix Mercury,Edna Campbell,Texas,Guard,5'8,7,161,3.6,0.041,21.3,7.1,1.7,1.4,0.6,0.2,37.9%,38.8%,72.5%
11,1999,Cleveland Rockers,Chasity Melvin,NC State,Center-Forward,6'3,12,393,33.9,0.129,26.6,9.7,5.4,1.3,0.9,0.6,46.3%,28.6%,67.8%
12,1999,Houston Comets,Natalia Zasulskaya,Russia,Center-Forward,6'2,0,null,null,null,null,null,null,null,null,null,null,null,null
13,1999,Washington Mystics,Shalonda Enis,Alabama,null,null,5,106,5.8,0.094,23.2,7.7,4.2,0.8,null,null,null,null,null
14,1999,Sacramento Monarchs,Kedra Holland-Corn,Georgia,null,null,7,223,13.1,0.095,24.9,8.7,2.1,1.9,null,null,null,null,null
15,1999,Utah Starzz,Debbie Black,Saint Joseph's,null,null,6,193,10.6,0.096,22.8,3.9,2.8,3.2,null,null,null,null,null
16,1999,Los Angeles Sparks,Clarisse Machanguana,Old Dominion,null,null,4,118,4.5,0.109,14.2,4.1,2.6,0.5,null,null,null,null,null
17,1999,Detroit Shock,Val Whiting-Raymond,Stanford,null,null,3,63,1.3,0.04,20.3,4.8,4.7,1.1,null,null,null,null,null
18,1999,New York Liberty,Michele Van Gorp,Duke,null,null,6,132,0.5,0.012,11.4,3.2,2.1,0.4,null,null,null,null,null
19,1999,Minnesota Lynx,Trisha Fallon,Australia,null,null,2,57,2.6,0.093,19.7,7,1.7,1,null,null,null,null,null
20,1999,Orlando Miracle,Sheri Sam,Vanderbilt,null,null,10,328,20.4,0.088,28.3,10.2,4.1,2.3,null,null,null,null,null
21,1999,Charlotte Sting,Stephanie White,Purdue,null,null,5,142,6.7,0.098,19.2,5.9,1.6,2,null,null,null,null,null
22,1999,Phoenix Mercury,Clarissa Davis-Wrightsil,Texas,null,null,1,14,0.7,0.106,18.5,9.3,2.7,1.4,null,null,null,null,null
23,1999,Cleveland Rockers,Mery Andrade,Old Dominion,null,null,5,140,4.7,0.068,19.9,4.2,2.1,2.1,null,null,null,null,null
24,1999,Houston Comets,Sonja Henning,Stanford,null,null,5,151,4,0.043,24.5,3.2,2.3,2.3,null,null,null,null,null
25,1999,Washington Mystics,Andrea Nagy,Florida International University,null,null,4,102,0.3,0.005,22.2,3.2,1.8,3.5,null,null,null,null,null
26,1999,Sacramento Monarchs,Kate Starbird,Stanford,null,null,5,112,1.5,0.048,11.2,3.3,1.1,0.8,null,null,null,null,null
27,1999,Utah Starzz,Adrienne Goodson,Old Dominion,null,null,7,221,12.1,0.075,29.2,12.2,5.1,2,null,null,null,null,null
28,1999,Los Angeles Sparks,Ukari Figgs,Purdue,null,null,5,151,11.8,0.122,25.7,6.5,2.3,3.1,null,null,null,null,null
29,1999,Detroit Shock,Dominique Canty,Alabama,null,null,14,380,11.9,0.052,24,7.3,2.5,2.8,null,null,null,null,null
30,1999,New York Liberty,Tamika Whitmore,Memphis,null,null,11,350,20.4,0.095,24.4,9.6,3.9,1,null,null,null,null,null
31,1999,Minnesota Lynx,Andrea Lloyd-Curry,Texas,null,null,2,46,2,0.066,26.8,6.3,3.9,2.5,null,null,null,null,null
32,1999,Orlando Miracle,Taj McWilliams-Franklin,St. Edward's University,null,null,14,440,53.9,0.159,30.8,11.4,6.8,2,null,null,null,null,null
33,1999,Charlotte Sting,Charlotte Smith,UNC,null,null,8,237,7.8,0.056,23.6,6,3.4,1.5,null,null,null,null,null
34,1999,Phoenix Mercury,Lisa Harrison,Tennessee,null,null,6,187,10,0.088,24.2,6,3.6,1.2,null,null,null,null,null
